1776401394.7276146,Not Paying Attention,322
1776401394.794217,Not Paying Attention,324
1776401394.9113426,Not Paying Attention,326
1776401395.0054517,Not Paying Attention,328
1776401395.1212866,Not Paying Attention,330
1776401395.2182639,Not Paying Attention,332
1776401395.2930422,Not Paying Attention,334
1776401395.3939004,Not Paying Attention,336
1776401395.5216012,Not Paying Attention,338
1776401395.6203659,Not Paying Attention,340
1776401395.7086298,Not Paying Attention,342
1776401395.7834291,Not Paying Attention,344
1776401395.8941307,Not Paying Attention,346
1776401395.9878278,Not Paying Attention,348
1776401396.0819635,Not Paying Attention,350
1776401396.2041485,Not Paying Attention,351
1776401396.2904496,Not Paying Attention,353
1776401396.3968039,Not Paying Attention,355
1776401396.483261,Not Paying Attention,357
1776401396.6055942,Not Paying Attention,359
1776401396.7224257,Not Paying Attention,361
1776401396.8503542,Not Paying Attention,363
1776401396.9032133,Not Paying Attention,365
1776401396.9934235,Not Paying Attention,367
1776401397.123436,Not Paying Attention,369
1776401397.3868911,Not Paying Attention,371
1776401397.410046,Not Paying Attention,373
1776401397.5035756,Not Paying Attention,375
1776401397.5844214,Not Paying Attention,377
1776401397.7105546,Not Paying Attention,379
1776401397.822426,Not Paying Attention,381
1776401397.926449,Not Paying Attention,383
1776401398.0104074,Not Paying Attention,385
1776401398.1114647,Not Paying Attention,387
1776401398.2274747,Not Paying Attention,389
1776401398.3183932,Not Paying Attention,391
1776401398.4157412,Not Paying Attention,393
1776401398.5094795,Not Paying Attention,395
1776401398.6233723,Not Paying Attention,397
1776401398.6902304,Not Paying Attention,399
1776401398.8174586,Not Paying Attention,401
1776401398.8852758,Not Paying Attention,403
1776401399.0236,Not Paying Attention,405
1776401399.1194844,Not Paying Attention,407
1776401399.2164614,Not Paying Attention,409
1776401399.3265073,Not Paying Attention,411
1776401399.4223337,Not Paying Attention,413
1776401399.5205023,Not Paying Attention,415
1776401399.616506,Not Paying Attention,417
1776401399.7275481,Not Paying Attention,419
1776401399.7953649,Not Paying Attention,421
1776401399.9213235,Not Paying Attention,423
1776401400.0224407,Not Paying Attention,425
1776401400.1042159,Not Paying Attention,427
1776401400.192523,Not Paying Attention,429
1776401400.3205047,Not Paying Attention,431
1776401400.4173446,Not Paying Attention,433
1776401400.4965425,Not Paying Attention,435
1776401400.624561,Not Paying Attention,437
1776401400.7214692,Not Paying Attention,439
1776401400.8161862,Not Paying Attention,441
1776401400.9009557,Not Paying Attention,443
1776401401.028355,Not Paying Attention,445
1776401401.0993598,Not Paying Attention,447
1776401401.2143948,Not Paying Attention,448
1776401401.332802,Not Paying Attention,450
1776401401.4143724,Not Paying Attention,452
1776401401.507079,Not Paying Attention,454
1776401401.607149,Not Paying Attention,456
1776401401.7304325,Not Paying Attention,458
